X1,season,player,Pos,possessions,Age,height,weight,G,DRB,BLK,STL,DRAYMOND,PTS,FT.,PPG,FTP,draft_round,draft_number,draft_year,years_in_nba
1,2014,Al Horford,C,1943.542,27,208,111,29,178,44,27,1.487233,18.551724137931,0.682,18.551724137931,0.682,1,3,2007,7
2,2015,Al Horford,C,5738.118,28,208,111,76,413,98,68,1.582315,15.2105263157895,0.759,15.2105263157895,0.759,1,3,2007,8
3,2016,Al Horford,C,6204.384,29,208,111,82,448,121,68,1.474515,15.2317073170732,0.798,15.2317073170732,0.798,1,3,2007,9
4,2017,Al Horford,C,5690.006,30,208,111,68,369,87,52,-0.059025,14,0.8,14,0.8,1,3,2007,10
5,2014,Al Jefferson,C,5189.211,29,208,131,73,636,79,67,0.7736504,21.8356164383562,0.69,21.8356164383562,0.69,1,15,2004,10
6,2015,Al Jefferson,C,3925.07,30,208,131,65,449,84,47,-0.8153014,16.6461538461538,0.655,16.6461538461538,0.655,1,15,2004,11
7,2016,Al Jefferson,C,2554.31,31,208,131,47,244,41,30,-0.1928413,11.9574468085106,0.649,11.9574468085106,0.649,1,15,2004,12
8,2017,Al Jefferson,C,1907.192,32,208,131,66,203,16,19,-0.9389905,8.10606060606061,0.765,8.10606060606061,0.765,1,15,2004,13
9,2014,Al-Farouq Aminu,SF,4051.23,23,206,99,80,367,38,82,-1.20371,7.15,0.664,7.15,0.664,1,8,2010,4
10,2015,Al-Farouq Aminu,SF,3162.33,24,206,99,74,228,62,70,-0.0324187,5.56756756756757,0.712,5.56756756756757,0.712,1,8,2010,5
11,2016,Al-Farouq Aminu,SF,5620.879,25,206,99,82,401,53,72,0.503723,10.2317073170732,0.737,10.2317073170732,0.737,1,8,2010,6
12,2017,Al-Farouq Aminu,SF,3876.177,26,206,99,61,374,44,60,1.038686,8.72131147540984,0.706,8.72131147540984,0.706,1,8,2010,7
13,2014,Alan Anderson,SF,3969.544,31,198,99,78,135,11,48,-0.619294,7.23076923076923,0.78,7.23076923076923,0.78,Undrafted,Undrafted,NA,NA
14,2015,Alan Anderson,SG,3802.11,32,198,99,74,173,5,56,-0.1540046,7.36486486486486,0.812,7.36486486486486,0.812,Undrafted,Undrafted,NA,NA
15,2016,Alan Anderson,SG,405.12,33,198,99,13,26,1,4,-2.482471,5,0.733,5,0.733,Undrafted,Undrafted,NA,NA
16,2017,Alan Anderson,SF,635.25,34,198,99,30,21,0,3,-2.504901,2.86666666666667,0.75,2.86666666666667,0.75,Undrafted,Undrafted,NA,NA
17,2014,Alec Burks,SG,4294.625,22,198,97,78,198,14,69,-1.14312,13.9615384615385,0.748,13.9615384615385,0.748,1,12,2011,3
18,2015,Alec Burks,SG,1731.886,23,198,97,27,95,5,17,-2.625811,13.8518518518519,0.822,13.8518518518519,0.822,1,12,2011,4
19,2016,Alec Burks,SG,1601.472,24,198,97,31,93,4,18,-2.254529,13.2903225806452,0.752,13.2903225806452,0.752,1,12,2011,5
20,2017,Alec Burks,SG,1323.413,25,198,97,42,103,5,18,1.065813,6.73809523809524,0.769,6.73809523809524,0.769,1,12,2011,6
21,2014,Alex Len,C,760.4263,20,216,117,42,60,18,4,-2.645275,2.04761904761905,0.645,2.04761904761905,0.645,1,5,2013,1
22,2015,Alex Len,C,3170.09,21,216,117,69,312,105,34,1.204752,6.26086956521739,0.702,6.26086956521739,0.702,1,5,2013,2
23,2016,Alex Len,C,3811.581,22,216,117,78,416,62,38,0.6525376,9.01282051282051,0.728,9.01282051282051,0.728,1,5,2013,3
24,2017,Alex Len,C,3358.225,23,216,117,77,354,98,37,1.541873,7.96103896103896,0.721,7.96103896103896,0.721,1,5,2013,4
25,2014,Alexis Ajinca,C,1878.819,25,218,112,56,183,46,23,-1.231676,5.85714285714286,0.836,5.85714285714286,0.836,1,20,2008,6
26,2015,Alexis Ajinca,C,1886.48,26,218,112,68,211,51,21,0.918018,6.51470588235294,0.818,6.51470588235294,0.818,1,20,2008,7
27,2016,Alexis Ajinca,C,1792.136,27,218,112,59,194,36,19,0.0424595,5.96610169491525,0.839,5.96610169491525,0.839,1,20,2008,8
28,2017,Alexis Ajinca,C,1235.282,28,218,112,39,131,22,20,0.5436447,5.30769230769231,0.725,5.30769230769231,0.725,1,20,2008,9
29,2014,Allen Crabbe,SG,210.4583,21,198,95,15,8,1,2,-0.9351667,2.2,0.75,2.2,0.75,2,31,2013,1
30,2015,Allen Crabbe,SG,1483.248,22,198,95,51,66,15,19,0.8822076,3.29411764705882,0.75,3.29411764705882,0.75,2,31,2013,2
31,2016,Allen Crabbe,SG,5025.327,23,198,95,81,189,16,63,0.3728356,10.2716049382716,0.867,10.2716049382716,0.867,2,31,2013,3
32,2017,Allen Crabbe,SG,4891.046,24,198,95,79,206,20,54,-0.6799405,10.6962025316456,0.847,10.6962025316456,0.847,2,31,2013,4
33,2014,Amir Johnson,PF,4662.681,26,206,108,77,333,88,56,0.4759569,10.3766233766234,0.636,10.3766233766234,0.636,2,56,2005,9
34,2015,Amir Johnson,PF,4151.016,27,206,108,75,297,59,44,0.1203203,9.25333333333333,0.612,9.25333333333333,0.612,2,56,2005,10
35,2016,Amir Johnson,PF,4033.257,28,206,108,79,327,83,52,0.8365323,7.30379746835443,0.57,7.30379746835443,0.57,2,56,2005,11
36,2017,Amir Johnson,PF,3577.901,29,206,108,80,248,62,52,1.915634,6.5,0.67,6.5,0.67,2,56,2005,12
37,2014,Andre Drummond,C,5245.639,20,211,126,81,631,131,101,-0.3000934,13.5185185185185,0.418,13.5185185185185,0.418,1,9,2012,2
38,2015,Andre Drummond,C,4944.056,21,211,126,82,667,153,73,0.5762386,13.780487804878,0.389,13.780487804878,0.389,1,9,2012,3
39,2016,Andre Drummond,C,5609.562,22,211,126,81,803,112,119,-0.2815954,16.2222222222222,0.355,16.2222222222222,0.355,1,9,2012,4
40,2017,Andre Drummond,C,4822.015,23,211,126,81,771,89,124,-1.048324,13.641975308642,0.386,13.641975308642,0.386,1,9,2012,5
41,2014,Andre Iguodala,SF,4652.563,30,198,97,63,240,18,95,-0.3161691,9.33333333333333,0.652,9.33333333333333,0.652,1,9,2004,10
42,2015,Andre Iguodala,SF,5579.277,31,198,97,77,213,25,89,0.6548673,7.84415584415584,0.596,7.84415584415584,0.596,1,9,2004,11
43,2016,Andre Iguodala,SF,5284.902,32,198,97,65,211,19,73,-1.00842,7.03076923076923,0.614,7.03076923076923,0.614,1,9,2004,12
44,2017,Andre Iguodala,SF,5156.421,33,198,97,76,253,39,76,0.1916146,7.55263157894737,0.706,7.55263157894737,0.706,1,9,2004,13
45,2014,Andre Roberson,SG,835.7681,22,196,83,40,58,10,19,-0.3315544,1.875,0.7,1.875,0.7,1,26,2013,1
46,2015,Andre Roberson,SG,2676.219,23,196,83,67,195,29,53,2.306452,3.40298507462687,0.479,3.40298507462687,0.479,1,26,2013,2
47,2016,Andre Roberson,SG,4172.076,24,196,83,70,172,42,53,2.079207,4.81428571428571,0.611,4.81428571428571,0.611,1,26,2013,3
48,2017,Andre Roberson,SF,5343.956,25,196,83,79,304,79,94,2.848248,6.6075949367088596,0.423,6.6075949367088596,0.423,1,26,2013,4
